Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO,Team,Weather Classified
"Friday, May 12",ARI,Home,SFG,W,7.0,5.0,9.0,21-18,2.0,3.0,Misiewicz,Junis,Castro,2.9333333333333336,N,19266.0,1.13,1,,28.9,12.0,260.2508321,0.0,,11.2,0.074074074074074,ARI,3
"Saturday, May 13",ARI,Home,SFG,W,7.0,2.0,9.0,22-18,2.0,3.0,Gallen,DeSclafani,,2.5666666666666664,N,25147.0,1.18,2,,32.2,11.0,250.25083210000005,0.0,,11.2,0.074074074074074,ARI,3
"Sunday, May 14",ARI,Home,SFG,W-wo,2.0,1.0,9.0,23-18,2.0,3.0,Castro,Rogers,,2.4,D,26267.0,1.24,3,,33.3,9.0,260.2508321,0.0,,11.2,0.074074074074074,ARI,3
"Monday, May 15",ARI,@,OAK,W,5.0,2.0,9.0,24-18,2.0,3.0,Kelly,Rucinski,Chafin,2.583333333333333,N,2064.0,1.17,4,,16.1,75.0,265.48883674,0.0,,20.5,0.074074074074074,ARI,0
"Tuesday, May 16",ARI,@,OAK,L-wo,8.0,9.0,12.0,24-19,2.0,3.0,Pruitt,McGough,,4.15,N,3261.0,1.14,-1,,13.3,87.0,245.48883674,0.0,,18.4,0.074074074074074,ARI,0
"Wednesday, May 17",ARI,@,OAK,W,5.0,3.0,9.0,25-19,2.0,3.0,Ruiz,Fujinami,Castro,2.85,D,4159.0,1.17,1,,15.0,81.0,235.48883674,0.0,,27.7,0.074074074074074,ARI,0
"Friday, May 19",ARI,@,PIT,L,3.0,13.0,9.0,25-20,2.0,3.5,Oviedo,Gallen,,2.9833333333333334,N,25903.0,1.28,-1,,18.9,49.0,23.4235757,0.0,,13.0,0.074074074074074,ARI,1
"Saturday, May 20",ARI,@,PIT,W,4.0,3.0,9.0,26-20,2.0,2.5,Nelson,Stephenson,Castro,2.583333333333333,D,22876.0,1.24,1,,18.3,78.0,53.4235757,0.0,,5.4,0.1481481481481481,ARI,1
"Sunday, May 21",ARI,@,PIT,W,8.0,3.0,9.0,27-20,2.0,1.5,Kelly,Moreta,,2.9,D,21418.0,1.32,2,,12.2,66.0,213.4235757,0.0,,13.0,0.074074074074074,ARI,0
"Monday, May 22",ARI,@,PHI,W,6.0,3.0,9.0,28-20,2.0,1.5,Henry,Wheeler,Chafin,2.95,N,34040.0,1.33,3,,18.3,56.0,49.92948032,0.0,,5.4,0.074074074074074,ARI,1
"Tuesday, May 23",ARI,@,PHI,W,4.0,3.0,9.0,29-20,2.0,1.5,Castro,Domínguez,,2.783333333333333,N,33420.0,1.29,4,,15.6,75.0,99.92948032,0.0,,11.2,0.074074074074074,ARI,0
"Wednesday, May 24",ARI,@,PHI,L-wo,5.0,6.0,10.0,29-21,2.0,1.5,Kimbrel,Ruiz,,3.533333333333333,D,41544.0,1.25,-1,,12.2,64.0,59.92948032,0.0,,14.8,0.074074074074074,ARI,0
"Friday, May 26",ARI,Home,BOS,L,2.0,7.0,9.0,29-22,2.0,1.5,Sale,Pfaadt,,2.75,N,25467.0,1.27,-2,,34.4,10.0,320.2508321,0.0,,16.6,0.074074074074074,ARI,3
"Saturday, May 27",ARI,Home,BOS,L,1.0,2.0,9.0,29-23,2.0,2.5,Whitlock,Davies,Jansen,2.8166666666666664,D,29142.0,1.27,-3,,32.2,10.0,270.2508321,0.0,,27.7,0.037037037037037,ARI,3
"Sunday, May 28",ARI,Home,BOS,W,4.0,2.0,9.0,30-23,2.0,1.5,Kelly,Houck,Castro,2.716666666666667,D,26051.0,1.23,1,,33.3,8.0,310.2508321,0.0,,13.0,0.037037037037037,ARI,3
"Monday, May 29",ARI,Home,COL,W,7.0,5.0,9.0,31-23,2.0,1.5,Nelson,Kauffmann,Chafin,2.716666666666667,D,15304.0,1.31,2,,34.4,9.0,300.2508321,0.0,,13.0,0.037037037037037,ARI,3
"Tuesday, May 30",ARI,Home,COL,W,5.0,1.0,9.0,32-23,2.0,1.5,Gallen,Freeland,,2.45,N,11146.0,1.34,3,,33.3,10.0,280.2508321,0.0,,29.5,0.037037037037037,ARI,3
"Wednesday, May 31",ARI,Home,COL,W,6.0,0.0,9.0,33-23,2.0,0.5,Henry,Lamet,,2.6333333333333333,N,11844.0,1.28,4,,32.2,11.0,290.2508321,0.0,,33.5,0.074074074074074,ARI,3
"Thursday, Jun 1",ARI,Home,COL,W-wo,5.0,4.0,9.0,34-23,1.0,Tied,Ginkel,Johnson,,2.8833333333333333,D,16492.0,1.25,5,,28.9,20.0,250.25083210000005,0.0,,22.3,0.074074074074074,ARI,3
"Friday, Jun 2",ARI,Home,ATL,W,3.0,2.0,9.0,35-23,1.0,Tied,Kelly,Morton,Castro,2.183333333333333,N,27469.0,1.33,6,,31.1,13.0,40.250832100000025,0.0,,7.6,0.074074074074074,ARI,3
"Saturday, Jun 3",ARI,Home,ATL,L,2.0,5.0,9.0,35-24,1.0,Tied,Strider,Nelson,Iglesias,2.7333333333333334,N,36529.0,1.31,-1,,31.7,13.0,250.25083210000005,0.0,,9.4,0.074074074074074,ARI,3
"Sunday, Jun 4",ARI,Home,ATL,L,5.0,8.0,9.0,35-25,1.0,Tied,Minter,Castro,Iglesias,3.216666666666667,D,32401.0,1.36,-2,,35.0,12.0,250.25083210000005,0.0,,13.0,0.074074074074074,ARI,3
"Tuesday, Jun 6",ARI,@,WSN,W,10.0,5.0,9.0,36-25,1.0,up 1.0,Ruiz,Ramírez,,2.966666666666667,N,24743.0,1.32,1,,21.7,42.0,271.05180647,0.0,,7.6,0.074074074074074,ARI,2
"Wednesday, Jun 7",ARI,@,WSN,W,6.0,2.0,9.0,37-25,1.0,up 2.0,Davies,Corbin,,2.533333333333333,N,18180.0,1.25,2,,24.4,40.0,261.05180647,0.0,,20.5,0.1111111111111111,ARI,2
"Friday, Jun 9",ARI,@,DET,W,11.0,6.0,9.0,38-25,1.0,up 2.5,Kelly,Lorenzen,,2.75,N,19664.0,1.26,3,,15.9,60.0,258.7729507,0.0,,13.0,0.037037037037037,ARI,0
"Saturday, Jun 10",ARI,@,DET,W,5.0,0.0,9.0,39-25,1.0,up 2.5,Nelson,Boyd,,2.5,D,31607.0,1.23,4,,18.4,48.0,30.7729507,0.0,,4.0,0.1111111111111111,ARI,1
"Sunday, Jun 11",ARI,@,DET,W,7.0,5.0,9.0,40-25,1.0,up 3.5,Ginkel,Foley,McGough,2.95,D,17956.0,1.21,5,,21.5,50.0,38.7729507,0.0,,13.0,0.1111111111111111,ARI,2
"Monday, Jun 12",ARI,Home,PHI,W,9.0,8.0,9.0,41-25,1.0,up 4.0,Jameson,Covey,Castro,3.183333333333333,N,18432.0,1.24,6,,30.0,21.0,260.2508321,0.0,,25.9,0.074074074074074,ARI,3
"Tuesday, Jun 13",ARI,Home,PHI,L,3.0,15.0,9.0,41-26,1.0,up 3.0,Wheeler,Davies,Ortiz,2.716666666666667,N,20186.0,1.15,-1,,30.6,17.0,340.2508321,0.0,,14.8,0.074074074074074,ARI,3
"Wednesday, Jun 14",ARI,Home,PHI,L,3.0,4.0,10.0,41-27,1.0,up 3.0,Kimbrel,McGough,Alvarado,2.9,N,20286.0,1.24,-2,,32.8,13.0,280.2508321,0.0,,13.0,0.074074074074074,ARI,3
"Thursday, Jun 15",ARI,Home,PHI,L,4.0,5.0,9.0,41-28,1.0,up 2.0,Nola,Nelson,Kimbrel,2.9166666666666665,D,23032.0,1.32,-3,,34.4,12.0,270.2508321,0.0,,20.5,0.074074074074074,ARI,3
"Friday, Jun 16",ARI,Home,CLE,W,5.0,1.0,9.0,42-28,1.0,up 3.0,Gallen,Toussaint,,2.583333333333333,N,27203.0,1.34,1,,35.0,11.0,300.2508321,0.0,,13.0,0.074074074074074,ARI,3
"Saturday, Jun 17",ARI,Home,CLE,W,6.0,3.0,9.0,43-28,1.0,up 4.0,Castro,Bieber,McGough,2.3833333333333333,N,25471.0,1.31,2,,35.6,7.0,280.2508321,0.0,,20.5,0.074074074074074,ARI,3
"Sunday, Jun 18",ARI,Home,CLE,L,3.0,12.0,9.0,43-29,1.0,up 3.5,Bibee,Davies,,3.1,D,42031.0,1.27,-1,,35.0,12.0,220.25083210000005,0.0,,5.4,0.074074074074074,ARI,3
"Monday, Jun 19",ARI,@,MIL,W,9.0,1.0,9.0,44-29,1.0,up 3.5,Kelly,Burnes,,2.45,N,24257.0,1.41,1,,16.7,80.0,271.1462953,0.0,,5.4,0.1111111111111111,ARI,0
"Tuesday, Jun 20",ARI,@,MIL,L,5.0,7.0,9.0,44-30,1.0,up 2.5,Wilson,Adams,Williams,2.5166666666666666,N,27048.0,1.37,-1,,17.8,68.0,261.1462953,0.0,,14.8,0.074074074074074,ARI,1
"Wednesday, Jun 21",ARI,@,MIL,W,5.0,1.0,9.0,45-30,1.0,up 2.5,Gallen,Peguero,McGough,2.75,D,31397.0,1.4,1,,19.4,63.0,251.1462953,0.0,,18.4,0.074074074074074,ARI,1
"Thursday, Jun 22",ARI,@,WSN,W,5.0,3.0,9.0,46-30,1.0,up 3.5,Henry,Irvin,McGough,2.55,D,13251.0,1.34,2,2023-06-08 (Air Quality),16.1,93.0,11.05180647,0.4,,25.9,0.2592592592592592,ARI,0
"Friday, Jun 23",ARI,@,SFG,L,5.0,8.0,9.0,46-31,1.0,up 2.5,Webb,Davies,Doval,2.4166666666666665,N,31992.0,1.56,-1,,16.1,72.0,184.8480534,0.0,,20.5,0.074074074074074,ARI,0
"Saturday, Jun 24",ARI,@,SFG,L,6.0,7.0,9.0,46-32,1.0,up 1.5,Rogers,Kelly,Doval,2.65,D,34343.0,1.65,-2,,15.6,72.0,184.8480534,0.0,,25.9,0.074074074074074,ARI,0
"Sunday, Jun 25",ARI,@,SFG,W,5.0,2.0,9.0,47-32,1.0,up 2.5,Nelson,DeSclafani,McGough,2.75,D,35766.0,1.64,1,,15.6,72.0,184.8480534,0.0,,27.7,0.074074074074074,ARI,0
"Tuesday, Jun 27",ARI,Home,TBR,W,8.0,4.0,9.0,48-32,1.0,up 2.5,Gallen,Bradley,,2.4333333333333336,N,23351.0,1.3,2,,41.7,4.0,260.2508321,0.0,,24.1,0.074074074074074,ARI,3
"Wednesday, Jun 28",ARI,Home,TBR,L,2.0,3.0,9.0,48-33,1.0,up 2.5,Poche,McGough,Fairbanks,2.2,N,20858.0,1.29,-1,,38.9,8.0,260.2508321,0.0,,22.3,0.037037037037037,ARI,3
"Thursday, Jun 29",ARI,Home,TBR,L,1.0,6.0,9.0,48-34,1.0,up 2.0,Chirinos,Pfaadt,,2.6,D,22127.0,1.31,-2,,38.3,10.0,270.2508321,0.0,,20.5,0.037037037037037,ARI,3
"Friday, Jun 30",ARI,@,LAA,W,6.0,2.0,9.0,49-34,1.0,up 2.0,Henry,Canning,,2.783333333333333,N,34957.0,1.34,1,,21.7,63.0,135.82863453,0.0,,11.2,0.037037037037037,ARI,2
"Saturday, Jul 1",ARI,@,LAA,W,3.0,1.0,9.0,50-34,1.0,up 3.0,Nelson,Bachman,McGough,2.6666666666666665,N,44472.0,1.33,2,,24.4,56.0,155.82863453,0.0,,13.0,0.037037037037037,ARI,2
"Sunday, Jul 2",ARI,@,LAA,L,2.0,5.0,9.0,50-35,1.0,up 3.0,Detmers,Gallen,Estévez,2.35,D,29167.0,1.29,-1,,20.0,78.0,145.82863453,0.0,,14.8,0.037037037037037,ARI,1
"Tuesday, Jul 4",ARI,Home,NYM,L,5.0,8.0,9.0,50-36,1.0,up 2.5,Scherzer,Castro,Robertson,3.0166666666666666,D,41670.0,1.33,-2,,42.8,8.0,260.2508321,0.0,,20.5,0.074074074074074,ARI,3
"Wednesday, Jul 5",ARI,Home,NYM,L,1.0,2.0,9.0,50-37,1.0,up 1.5,Senga,Chafin,Robertson,2.6166666666666667,N,18152.0,1.42,-3,,43.3,7.0,280.2508321,0.0,,27.7,0.074074074074074,ARI,3
"Thursday, Jul 6",ARI,Home,NYM,L,0.0,9.0,9.0,50-38,1.0,up 0.5,Carrasco,Nelson,,2.6166666666666667,N,18514.0,1.47,-4,,41.1,10.0,230.25083210000005,0.0,,14.8,0.037037037037037,ARI,3
"Friday, Jul 7",ARI,Home,PIT,W,7.0,3.0,9.0,51-38,1.0,up 0.5,Gallen,Hill,,2.6833333333333336,N,26837.0,1.47,1,,42.8,9.0,260.2508321,0.0,,24.1,0.074074074074074,ARI,3
"Saturday, Jul 8",ARI,Home,PIT,W-wo,3.0,2.0,10.0,52-38,1.0,up 0.5,McGough,Bednar,,2.5666666666666664,D,31801.0,1.47,2,,42.8,10.0,300.2508321,0.0,,20.5,0.074074074074074,ARI,3
"Sunday, Jul 9",ARI,Home,PIT,L,2.0,4.0,9.0,52-39,1.0,Tied,Bido,Davies,Bednar,2.3833333333333333,D,30021.0,1.42,-1,,41.7,11.0,300.2508321,0.0,,13.0,0.074074074074074,ARI,3
"Friday, Jul 14",ARI,@,TOR,L,2.0,7.0,9.0,52-40,2.0,1.0,Richards,Nelson,,2.9166666666666665,N,38617.0,1.42,-2,,19.5,74.0,300.9095893,0.0,,19.1,0.037037037037037,ARI,1
"Saturday, Jul 15",ARI,@,TOR,L,2.0,5.0,9.0,52-41,2.0,2.0,Bassitt,Gallen,García,2.6,D,42328.0,1.47,-3,,21.8,75.0,157.9095893,0.0,,12.6,0.037037037037037,ARI,2
"Sunday, Jul 16",ARI,@,TOR,L,5.0,7.0,9.0,52-42,3.0,2.0,Jackson,Henry,Swanson,3.15,D,41794.0,1.4,-4,,20.4,91.0,149.9095893,0.3,,13.7,0.2962962962962963,ARI,1
"Tuesday, Jul 18",ARI,@,ATL,W,16.0,13.0,9.0,53-42,3.0,2.5,Castro,Iglesias,Ginkel,3.083333333333333,N,41100.0,1.43,1,,22.8,84.0,202.35313,0.0,,0.0,0.1851851851851851,ARI,2
"Wednesday, Jul 19",ARI,@,ATL,W,5.0,3.0,9.0,54-42,2.0,1.5,Nelson,Morton,Ginkel,2.4333333333333336,N,41992.0,1.46,2,,28.3,70.0,52.35312999999999,0.0,,9.4,0.1111111111111111,ARI,3
"Thursday, Jul 20",ARI,@,ATL,L,5.0,7.0,9.0,54-43,2.0,2.0,Yates,Castro,Iglesias,2.4833333333333334,D,38791.0,1.44,-1,,25.0,85.0,202.35313,0.0,,0.0,0.1111111111111111,ARI,3
"Friday, Jul 21",ARI,@,CIN,L,6.0,9.0,9.0,54-44,2.0,3.0,Young,Henry,Díaz,3.1,N,31824.0,1.56,-2,,27.2,79.0,117.6572646,0.0,,14.8,0.6666666666666666,ARI,3
"Saturday, Jul 22",ARI,@,CIN,L,2.0,4.0,9.0,54-45,2.0,4.0,Williamson,Pfaadt,Díaz,2.333333333333333,D,40625.0,1.58,-3,,21.1,78.0,237.6572646,0.0,,0.0,0.1111111111111111,ARI,2
"Sunday, Jul 23",ARI,@,CIN,L,3.0,7.0,9.0,54-46,2.0,4.0,Law,Gilbert,Sims,2.75,D,30811.0,1.5,-4,,20.6,78.0,237.6572646,0.0,,0.0,0.037037037037037,ARI,1
"Monday, Jul 24",ARI,Home,STL,L,6.0,10.0,9.0,54-47,2.0,4.0,Gallegos,Chafin,,2.9833333333333334,N,23184.0,1.39,-5,,42.8,17.0,270.2508321,0.0,,22.3,0.1111111111111111,ARI,3
"Tuesday, Jul 25",ARI,Home,STL,W,3.0,1.0,9.0,55-47,2.0,4.0,Nelson,Romero,Ginkel,2.3833333333333333,N,23572.0,1.37,1,,41.1,20.0,250.25083210000005,0.0,,24.1,0.1111111111111111,ARI,3
"Wednesday, Jul 26",ARI,Home,STL,L,7.0,11.0,9.0,55-48,3.0,4.0,Pallante,Gallen,,3.15,D,22457.0,1.41,-1,,44.4,13.0,280.2508321,0.0,,22.3,0.074074074074074,ARI,3
"Friday, Jul 28",ARI,Home,SEA,L,2.0,5.0,9.0,55-49,3.0,4.0,Gilbert,Henry,Sewald,2.8833333333333333,N,31697.0,1.39,-2,,42.8,17.0,260.2508321,0.0,,18.4,0.074074074074074,ARI,3
"Saturday, Jul 29",ARI,Home,SEA,W,4.0,3.0,9.0,56-49,3.0,4.0,Ginkel,Muñoz,McGough,2.783333333333333,N,44472.0,1.31,1,,44.4,15.0,270.2508321,0.0,,18.4,0.1111111111111111,ARI,3
"Sunday, Jul 30",ARI,Home,SEA,L,0.0,4.0,9.0,56-50,3.0,4.0,Castillo,Kelly,,2.55,D,35295.0,1.37,-1,,43.3,16.0,250.25083210000005,0.0,,13.0,0.1111111111111111,ARI,3
"Monday, Jul 31",ARI,@,SFG,W,4.0,3.0,11.0,57-50,3.0,3.5,Ginkel,Rogers,McGough,2.9166666666666665,N,28404.0,1.58,1,,17.2,75.0,194.8480534,0.0,,16.6,0.074074074074074,ARI,1
"Tuesday, Aug 1",ARI,@,SFG,L,3.0,4.0,9.0,57-51,3.0,4.5,Walker,Castro,Manaea,2.3666666666666667,N,25806.0,1.73,-1,,17.2,78.0,184.8480534,0.0,,16.6,0.074074074074074,ARI,1
"Wednesday, Aug 2",ARI,@,SFG,L,2.0,4.0,9.0,57-52,3.0,5.5,Webb,Gilbert,Doval,2.216666666666667,N,28956.0,1.57,-2,,15.6,83.0,204.8480534,0.0,,25.9,0.074074074074074,ARI,0
"Thursday, Aug 3",ARI,@,SFG,L,0.0,1.0,9.0,57-53,3.0,6.5,Beck,Pfaadt,Doval,2.083333333333333,D,33087.0,1.45,-3,,16.1,84.0,194.8480534,0.0,,24.1,0.037037037037037,ARI,0
"Friday, Aug 4",ARI,@,MIN,L,2.0,3.0,9.0,57-54,3.0,7.5,Thielbar,McGough,Durán,2.783333333333333,N,29408.0,1.15,-4,,23.9,76.0,359.49605421,0.0,,7.6,0.074074074074074,ARI,2
"Saturday, Aug 5",ARI,@,MIN,L,1.0,12.0,9.0,57-55,3.0,7.5,Maeda,Nelson,,2.466666666666667,N,34044.0,1.05,-5,,26.1,60.0,9.496054209999995,0.0,,7.6,0.1111111111111111,ARI,3
"Sunday, Aug 6",ARI,@,MIN,L-wo,3.0,5.0,9.0,57-56,3.0,8.5,Thielbar,Sewald,,2.6666666666666665,D,24778.0,1.02,-6,,25.0,60.0,359.49605421,0.0,,9.4,0.1111111111111111,ARI,3
